Description,Price Was,Price,Percent Off,Rating,Review Count,URL
"Telescope for Kids Beginners Adults, 70mm Astronomy Refractor Telescope with Adjustable Tripod, Portable Telescope Gift for Kids",,$94.99,0%,3.8 out of 5 stars,3.8,https://www.amazon.ca/Telescope-Astronomy-Beginners-Refractor-Starter/dp/B07ZZ2TXKX/ref=sr_1_5?keywords=telescope&qid=1671541514&sr=8-5
"Telescope, Astronomy Telescope for Adults, 400mm AZ Mount 16X-200X Telescope, 70mm HD Refractor Astronomical Telescope with Adjustable Tripod, Backpack, Phone Adapter…",,$124.99,0%,3.7 out of 5 stars,3.7,https://www.amazon.ca/Telescope-Astronomy-Refractor-Astronomical-Adjustable/dp/B09CTQVWGD/ref=sr_1_6?keywords=telescope&qid=1671541514&sr=8-6
"OYS Telescope, Telescopes for Adults, 70mm Aperture 400mm AZ Mount, Telescope for Kids Beginners, Fully Multi-Coated Optics, Astronomy Refractor Telescope with Tripod, Phone Adapter, Backpack",,$129.99,0%,4.1 out of 5 stars,4.1,https://www.amazon.ca/OYS-Telescope-Telescopes-Beginners-Multi-Coated/dp/B088KRWG5K/ref=sr_1_7?keywords=telescope&qid=1671541514&sr=8-7
"Telescope for Kids and Beginners, BNISE 150X Astronomy 70mm Larger Aperture 300mm Refractor Telescopes with Phone Adapter, Wire Shutter, Moon Filter and Carry Bag",,$94.99,0%,3.9 out of 5 stars,3.9,https://www.amazon.ca/BNISE-Telescope-Beginners-Astronomy-Telescopes/dp/B08HMZ336J/ref=sr_1_8?keywords=telescope&qid=1671541514&sr=8-8
"Celestron - PowerSeeker 50AZ Telescope - Manual Alt-Azimuth Telescope for Beginners - Compact and Portable - BONUS Astronomy Software Package - 50mm Aperture,21039",,$81.22,0%,3.9 out of 5 stars,3.9,https://www.amazon.ca/Celestron-PowerSeeker-50-Refractor-Telescope/dp/B0000UMLYI/ref=sr_1_9?keywords=telescope&qid=1671541514&sr=8-9
"Telescope 80mm Large Aperture for Beginners, Kids and Adults, 3 Rotatable Eyepieces Refractor Astronomy Telescope 400mm/80mm Good Partner to View Moon Landscape and Planet, with Tripod, Phone Adapter",$219.99,$205.99,-6.36%,4.0 out of 5 stars,4.0,https://www.amazon.ca/Telescope-Beginners-Rotatable-Eyepieces-Refractor/dp/B08TBCLRPS/ref=sr_1_10?keywords=telescope&qid=1671541514&sr=8-10
"Telescope for Adults & Kids - NACATIN 70mm Aperture (15X-150X) Portable Refractor Telescopes for Astronomy Beginners, 300mm Professional Travel Telescope with A Smartphone Adapter& A Wireless Remote",,$89.99,0%,3.9 out of 5 stars,3.9,https://www.amazon.ca/Telescope-Adults-Kids-Telescopes-Professional/dp/B0B7BGMP78/ref=sr_1_11?keywords=telescope&qid=1671541514&sr=8-11
"Upgraded Telescope HD 400/70mm Telescope for Kids Adults Refractor Astronomy Telescope - Watching The Moon, Bird Watching, Viewing The Natural Scenery, Watching The Wild Animals",$124.59,$105.90,-15.0%,4.0 out of 5 stars,4.0,https://www.amazon.ca/Upgraded-Telescope-Adults-Refractor-Astronomy/dp/B07X9L6JYS/ref=sr_1_12?keywords=telescope&qid=1671541514&sr=8-12
Travel Scope 70 DX Portable Telescope with Smartphone Adapter,,$149.99,0%,3.9 out of 5 stars,3.9,https://www.amazon.ca/Celestron-Portable-Telescope-Smartphone-Blutooth/dp/B07VY3CDG7/ref=sr_1_13?keywords=telescope&qid=1671541514&sr=8-13
"Telescope for Adults Astronomy, Telescopes for Adults Kids, Portable Professional Reflector Télescope with Three Eyepieces Phone Adapter Backpack",$149.99,$119.99,-20.0%,4.2 out of 5 stars,4.2,https://www.amazon.ca/Astronomical-Telescope-Astronomy-Reflector-Telescopes/dp/B09CYTHR9Z/ref=sr_1_14?keywords=telescope&qid=1671541514&sr=8-14
"Telescopes for Adults, 70mm Aperture 400mm AZ Mount, Telescope for Kids Beginners, Fully Multi-Coated Optics, Astronomy Refractor Telescope Portable Telescope with Tripod, Phone Adapter, Backpack",,$129.99,0%,4.2 out of 5 stars,4.2,https://www.amazon.ca/Telescopes-Telescope-Beginners-Multi-Coated-Astronomy/dp/B08HV6BPM5/ref=sr_1_15?keywords=telescope&qid=1671541514&sr=8-15
"Telescopes for Adults, 70mm Aperture and 700mm Focal Length Professional Astronomy Refractor Telescope for Kids and Beginners - with EQ Mount, 2 Plossl Eyepieces and Smartphone Adapter…",,$299.99,0%,4.4 out of 5 stars,4.4,https://www.amazon.ca/Telescopes-Professional-Astronomy-Refractor-Telescope/dp/B088GVB2S5/ref=sr_1_16?keywords=telescope&qid=1671541514&sr=8-16
"USCAMEL Telescope for Adults Astronomy,60mm Aperture 500mm AZ Mount Professional Refractor Telescope, Fully Multi-Coated Optics,Portable Telescope for Kids Beginners with Backpack Tripod Phone Adapter",,$139.99,0%,4.0 out of 5 stars,4.0,https://www.amazon.ca/Telescopes-Astronomy-Professional-Refractor-Multi-Coated/dp/B08XX7RTWB/ref=sr_1_17?keywords=telescope&qid=1671541514&sr=8-17
"MAXLAPTER Telescopes for Astronomy, Refractor Telescope with Tripod, Smartphone Adapter, Two Eyepieces, Carrying Case, Portable Scope for Kids Adults Beginners for Stargazing Birds Watching",$87.98,$79.99,-9.08%,3.9 out of 5 stars,3.9,https://www.amazon.ca/MAXLAPTER-Telescopes-Astronomy-Smartphone-Stargazing/dp/B07P818282/ref=sr_1_18?keywords=telescope&qid=1671541514&sr=8-18
"[2022 Newest] Telescopes for Adults Astronomy, 70mm Aperture 700mm AZ Mount Astronomical Refracting HD Telescope for Kids Beginners Telescope with Adjustable Tripod, Nylon Bag, Phone Adapter",,$239.99,0%,3.9 out of 5 stars,3.9,https://www.amazon.ca/Telescopes-Astronomy-Astronomical-Refracting-Adjustable/dp/B09Y86SN3V/ref=sr_1_19?keywords=telescope&qid=1671541514&sr=8-19
